bat,word,toys,0.06,0.07,0.13,0.19,0.17,0.24,0.29,0.38,0.41,0.48,0.54,0.52,0.76,0.62,0.71
block,word,toys,0.19,0.22,0.37,0.42,0.45,0.49,0.59,0.65,0.67,0.71,0.76,0.81,0.9,0.8,0.93
book,word,toys,0.52,0.52,0.71,0.8,0.83,0.8,0.82,0.92,0.91,0.92,0.94,0.96,0.98,0.95,0.97
bubbles,word,toys,0.36,0.38,0.58,0.63,0.67,0.65,0.79,0.85,0.86,0.89,0.91,0.92,0.97,0.92,0.98
chalk,word,toys,0.02,0.03,0.07,0.12,0.11,0.19,0.28,0.29,0.36,0.39,0.41,0.47,0.64,0.54,0.69
crayon,word,toys,0.05,0.09,0.22,0.29,0.31,0.35,0.53,0.52,0.66,0.71,0.73,0.76,0.88,0.8,0.94
doll,word,toys,0.18,0.22,0.35,0.39,0.45,0.47,0.58,0.57,0.64,0.68,0.75,0.74,0.86,0.76,0.88
game,word,toys,0.01,0.03,0.06,0.12,0.12,0.19,0.29,0.29,0.41,0.43,0.46,0.58,0.74,0.68,0.82
glue,word,toys,0,0,0.03,0.05,0.05,0.06,0.1,0.12,0.19,0.24,0.31,0.38,0.51,0.45,0.59
pen,word,toys,0.07,0.1,0.19,0.25,0.3,0.4,0.43,0.53,0.55,0.62,0.68,0.69,0.83,0.73,0.86
pencil,word,toys,0.03,0.03,0.12,0.18,0.18,0.27,0.31,0.35,0.46,0.53,0.61,0.61,0.8,0.72,0.84
play dough,word,toys,0.01,0.03,0.07,0.08,0.12,0.18,0.26,0.29,0.37,0.45,0.46,0.5,0.65,0.59,0.73
present,word,toys,0.01,0.03,0.05,0.1,0.13,0.17,0.33,0.37,0.52,0.56,0.6,0.65,0.81,0.7,0.85
puzzle,word,toys,0.03,0.04,0.15,0.21,0.2,0.26,0.38,0.43,0.57,0.62,0.65,0.71,0.85,0.75,0.88
story,word,toys,0.03,0.06,0.12,0.18,0.18,0.28,0.36,0.42,0.53,0.54,0.61,0.66,0.81,0.73,0.84
toy (object),word,toys,0.13,0.15,0.32,0.42,0.44,0.51,0.58,0.68,0.71,0.78,0.85,0.84,0.94,0.88,0.96
apple,word,food_drink,0.33,0.43,0.58,0.62,0.68,0.72,0.85,0.88,0.87,0.89,0.92,0.95,0.98,0.95,0.97
applesauce,word,food_drink,0.05,0.05,0.14,0.15,0.23,0.28,0.39,0.45,0.48,0.5,0.54,0.57,0.73,0.65,0.84
banana,word,food_drink,0.52,0.56,0.66,0.73,0.76,0.77,0.87,0.9,0.87,0.91,0.92,0.93,0.98,0.94,0.97
beans,word,food_drink,0.07,0.1,0.21,0.26,0.28,0.38,0.4,0.45,0.51,0.51,0.68,0.62,0.78,0.62,0.82
bread,word,food_drink,0.15,0.14,0.3,0.38,0.41,0.49,0.59,0.64,0.7,0.78,0.79,0.84,0.93,0.9,0.94
butter,word,food_drink,0.04,0.05,0.12,0.19,0.24,0.3,0.42,0.44,0.52,0.6,0.68,0.71,0.82,0.73,0.85
cake,word,food_drink,0.08,0.1,0.25,0.32,0.36,0.4,0.58,0.64,0.76,0.77,0.81,0.84,0.92,0.89,0.93
candy,word,food_drink,0.07,0.12,0.23,0.33,0.35,0.41,0.5,0.59,0.66,0.75,0.81,0.79,0.92,0.87,0.93
carrots,word,food_drink,0.06,0.07,0.2,0.23,0.26,0.35,0.42,0.47,0.57,0.6,0.69,0.69,0.86,0.8,0.91
cereal,word,food_drink,0.11,0.14,0.3,0.37,0.38,0.49,0.51,0.63,0.68,0.74,0.81,0.77,0.92,0.86,0.94
cheerios,word,food_drink,0.16,0.19,0.27,0.29,0.34,0.4,0.47,0.52,0.52,0.61,0.63,0.69,0.79,0.74,0.84
cheese,word,food_drink,0.36,0.41,0.57,0.64,0.69,0.67,0.78,0.83,0.87,0.86,0.92,0.93,0.96,0.92,0.97
chicken (food),word,food_drink,0.08,0.09,0.24,0.3,0.36,0.45,0.54,0.56,0.64,0.72,0.75,0.82,0.9,0.84,0.91
chocolate,word,food_drink,0.03,0.04,0.11,0.14,0.21,0.23,0.38,0.41,0.5,0.51,0.59,0.68,0.79,0.74,0.87
